ID;Authors;Institution;Type of Institution;Country;Type of Study
ACM0007;Andriy Miranskyy  ;Toronto Metropolitan University;Academy;Canada;Primary Study
ACM0007;Antonio Brogi  ;University of Pisa  ;Academy;Italy;Primary Study
ACM0007;Antonio Ruiz-Cortés  ;Universidad de Sevilla  ;Academy;Spain;Primary Study
ACM0007;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
ACM0007;Frank Leymann  ;University of Stuttgart;Academy;Germany;Primary Study
ACM0007;Ignacio García Rodríguez de Guzmán  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
ACM0007;Jianjun Zhao  ;Kyushu University;Academy;Japan;Primary Study
ACM0007;Johanna Barzen  ;University of Stuttgart;Academy;Germany;Primary Study
ACM0007;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
ACM0007;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
ACM0007;Manuel Wimmer  ;Johannes Kepler University Linz;Academy;Spain;Primary Study
ACM0007;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
ACM0007;Paolo Arcaini  ;National Institute of Informatics;Academy;Japan;Primary Study
ACM0007;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
ACM0007;Shaukat Ali  ;Simula Research Laboratory;Government;Norway;Primary Study
ACM0007;Tao Yue  ;Beihang University;Academy;China;Primary Study
SCP0001;Aakash Ahmad  ;University of Hail;Academy;Saudi Arabia  ;Primary Study
SCP0001;Arif Ali Khan  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0001;Mahdi Fahmideh  ;University of Southern Queensland;Academy;Australia  ;Primary Study
SCP0001;Muhammad Waseem  ;Wuhan University;Academy;China  ;Primary Study
SCP0001;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0002;Guido Peterssen  ;Quantum Software Technology;Industry;Spain;Primary Study
SCP0002;Jose Luis Hevia  ;Quantum Software Technology;Industry;Spain;Primary Study
SCP0002;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0005;Majid Haghparast  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0005;Muhammad Waseem  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0005;Niraj Dayama  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0005;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0005;Vlad Stirbu  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0011;Paolo Arcaini  ;National Institute of Informatics;Academy;Japan  ;Primary Study
SCP0011;Shaukat Ali  ;Oslo Metropolitan University;Academy;Norway  ;Primary Study
SCP0011;Tao Yue  ;Simula Research Laboratory;Government;Norway  ;Primary Study
SCP0012;Kimmo Halunen  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0012;Pauli Taipale  ;OP Financial Group  ;Industry;Finland  ;Primary Study
SCP0012;Petri Liimatta  ;OP Financial Group  ;Industry;Finland  ;Primary Study
SCP0012;Teiko Heinosaari  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0012;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0012;Vlad Stirbu  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0016;Matteo Paltenghi  ;University of Stuttgart;Academy;Germany  ;Primary Study
SCP0016;Michael Pradel  ;University of Stuttgart;Academy;Germany  ;Primary Study
SCP0019;Foutse Khomh  ;École Polytechnique de Montréal;Academy;Canada  ;Primary Study
SCP0019;Le An  ;École Polytechnique de Montréal;Academy;Canada  ;Primary Study
SCP0019;Mohammad Mehdi Morovati  ;École Polytechnique de Montréal;Academy;Canada  ;Primary Study
SCP0019;Moses Openja  ;École Polytechnique de Montréal;Academy;Canada  ;Primary Study
SCP0019;Mouna Abidi  ;École Polytechnique de Montréal;Academy;Canada  ;Primary Study
SCP0021;Arif Ali Khan  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0021;Muhammad Azeem Akbar  ;Lappeenranta-Lahti University of Technology;Academy;Finland  ;Primary Study
SCP0021;Saima Rafi  ;﻿Edinburgh Napier University;Academy;United Kingdom  ;Primary Study
SCP0021;Sajjad Mahmood  ;﻿Fahd University of Petroleum and Minerals;Academy;Saudi Arabia  ;Primary Study
SCP0022;Luis Jiménez-Navajas  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0022;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0022;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0024;Aakash Ahmad  ;Lancaster University Leipzig;Academy;Germany  ;Primary Study
SCP0024;Arif Ali Khan  ;University of Oulu;Academy;Finland  ;Primary Study
SCP0024;Mahdi Fahmideh  ;University of Southern Queensland;Academy;Australia  ;Primary Study
SCP0024;Mohammad Shameem  ;Koneru Lakshmaiah Education Foundation  ;Academy;India  ;Primary Study
SCP0024;Muhammad Azeem Akbar  ;Lappeenranta-Lahti University of Technology;Academy;Finland  ;Primary Study
SCP0024;Muhammad Waseem  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0024;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0024;Valtteri Lahtinen  ;Quanscient;Industry;Finland  ;Primary Study
SCP0026;Guido Peterssen  ;aQuantum;Industry;Spain;Primary Study
SCP0026;Jose Luis Hevia  ;aQuantum;Industry;Spain;Primary Study
SCP0026;Mario Piattini  ;aQuantum;Industry;Spain;Primary Study
SCP0026;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0027;Foutse Khomh  ;Polytechnique Montréal  ;Academy;Canada  ;Primary Study
SCP0027;Heng Li  ;Polytechnique Montréal  ;Academy;Canada  ;Primary Study
SCP0027;Mohamed Raed El Aoun  ;Polytechnique Montréal  ;Academy;Canada  ;Primary Study
SCP0027;Moses Openja  ;Polytechnique Montréal  ;Academy;Canada  ;Primary Study
SCP0031;David Valencia  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Javier Berrocal  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Javier Rojo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Ana Díaz Muñoz  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Danel Arias  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0032;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Erik B. Terres-Escudero  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0032;Jesús Ramón Oviedo Lama  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Moisés Rodríguez Monje  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Pablo García Bringas  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0033;Corey O'Meara;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
SCP0033;Giorgio Cortiana  ;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
SCP0033;Juan Bernabé-Moreno  ;University of Granada  ;Academy;Spain;Primary Study
SCP0033;Marina Fernández-Campoamor  ;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
