ID;Authors;Title;Year;Source Title;Source Title Abbreviation;Page Start;Page End;Cited by;Abstract;Author Keyword;Index Keyword;Language;Document Type;Type of Study;Research Type of Primary Studies;Research Type of Secondary Study;SWEBOK;Contributions;Challenges;Contributions Category;Challenges Category
ACM0007;Murillo, Juan M. and Garcia-Alonso, Jose and Moguel, Enrique and Barzen, Johanna and Leymann, Frank and Ali, Shaukat and Yue, Tao and Arcaini, Paolo and Pérez-Castillo, Ricardo and García Rodríguez de Guzmán, Ignacio and Piattini, Mario and Ruiz-Cortés, Antonio and Brogi, Antonio and Zhao, Jianjun and Miranskyy, Andriy and Wimmer, Manuel;Quantum Software Engineering: Roadmap and Challenges Ahead;2025;Transactions on Software Engineering and Methodology;TOSEM;1;50;2;As quantum computers advance, the complexity of the software they can execute increases as well. To ensure this software is efficient, maintainable, reusable, and cost-effective —key qualities of any industry-grade software— mature software engineering practices must be applied throughout its design, development, and operation. However, the significant differences between classical and quantum software make it challenging to directly apply classical software engineering methods to quantum systems. This challenge has led to the emergence of Quantum Software Engineering as a distinct field within the broader software engineering landscape. In this work, a group of active researchers analyse in depth the current state of quantum software engineering research. From this analysis, the key areas of quantum software engineering are identified and explored in order to determine the most relevant open challenges that should be addressed in the next years. These challenges help identify necessary breakthroughs and future research directions for advancing Quantum Software Engineering.;Quantum Software Engineering, Open challenges, Quantum Computing, QSE;0;English;Article;Primary Study;Philosophical papers;0;The Software Engineering in General;O artigo contribui com um framework conceitual organizado em um roadmap contendo 7 áreas principais da Engenharia de Software Quântico (QSE), explorando oportunidades e desafios técnicos, além de indicar temas prioritários para pesquisa e desenvolvimento futuro.;Os principais desafios envolvem a imaturidade da tecnologia quântica, a ausência de padronizações, a carência de abstrações adequadas e a necessidade urgente de novas práticas e ferramentas de engenharia de software adaptadas ao paradigma quântico.;"Conceptual framework; Research agenda";Tool immaturity
SCP0001;"Ahmad A.; Khan A.A.; Waseem M.; Fahmideh M.; Mikkonen T.";Towards Process Centered Architecting for Quantum Software Systems;2022;International Conference on Quantum Software;QSW;26;31;17;Quantum Software Engineering (QSE) is a recent trend-focused on unifying the principles of quantum mechanics and practices of software engineering-to design, develop, validate, and evolve quantum age software systems and applications. Software architecture for quantum computing (a.k. a. quantum software architectures (QSA)) supports the design, development, and maintenance etc. phases of quantum software systems using architectural components and connectors. QSA can enable quantum software designers and developers to map the operations of Qubits to architectural components and connectors for implementing quantum software. This research aims to explore the role of QSAs by investigating (i) architectural process having architecting activities, and (ii) human roles that can exploit available tools to automate and customise architecture-centric implementation of quantum software. Results of this research can facilitate knowledge transfer, enabling researchers and practitioners, to address challenges of architecture-centric implementation of quantum software systems.  © 2022 IEEE.;"Architecture Process; Quantum Software Architecture; Quantum Software Engineering; Reference Architecture";"Application programs; Knowledge management; Quantum computers; Quantum theory; Software design; Architectural components; Architectural connectors; Architecture process; Architecture-centric; Quantum software architecture; Quantum software engineering; Recent trends; Reference architecture; Software applications; Software-systems; Software architecture";English;Conference Paper;Primary Study;Evaluation research;0;Software Engineering Process;O artigo propõe um processo centrado na arquitetura para o desenvolvimento de software quântico, identificando cinco atividades essenciais para a modelagem e implementação de arquiteturas quânticas. Além disso, mapeia quatro papéis de profissionais fundamentais na Engenharia de Software Quântico (QSE) e destaca 11 ferramentas que podem apoiar diferentes fases do processo arquitetural. A pesquisa também fornece um exemplo demonstrativo aplicado à distribuição de chaves quânticas (QKD), ilustrando como o modelo pode estruturar o design e a implementação de software quântico.;Os principais desafios na arquitetura de software para computação quântica incluem a falta de um processo bem definido para projetar e implementar software quântico, a escassez de ferramentas padronizadas que automatizem o desenvolvimento arquitetural e a necessidade de capacitação profissional para lidar com os conceitos e peculiaridades da computação quântica. O artigo propõe uma agenda de pesquisa voltada para o desenvolvimento de novas metodologias de modelagem, integração de ferramentas para suporte automatizado e a criação de frameworks arquiteturais que possam ser amplamente adotados pela comunidade de desenvolvedores quânticos.;"Process model; Reference architecture";"Integration challenges; Modeling difficulty; Skill gap; Lack of community consolidation"
SCP0002;"Hevia J.L.; Peterssen G.; Piattini M.";QUANTUM SOFTWARE DEVELOPMENT RISKS;2024;Quantum Information and Computation;Quantum Inf. Comput.;455;467;0;In the last five years we have witnessed the emergence of numerous quantum computers, as well as dozens of quantum programming languages, platforms, etc… But it must be borne in mind that quantum computing is still in a state of technological flux, so it is essential to carry out a good risk assessment. Furthermore, it is necessary to try to mitigate the risks to safeguard the investments that organisations are starting to make in quantum software development. We identify some of the major risks associated with quantum computing, and specially quantum software and we also show a real case of risk mitigation based on technology. © 2024, Rinton Press Inc. All rights reserved.;"Quantum computing; quantum risks; quantum software development; quantum software engineering; quantum software platforms";"Quantum theory; Risk assessment; Software design; Development risk; Quanta computers; Quantum Computing; Quantum programming languages; Quantum risk; Quantum software development; Quantum software engineering; Quantum software platform; Risks assessments; Software platforms; Quantum computers";English;Article;Primary Study;Opinion papers;0;Software Security;O artigo apresenta uma análise abrangente dos principais riscos no desenvolvimento de software quântico, classificando-os em diferentes categorias, como segurança, privacidade, infraestrutura, padronização e sustentabilidade. Além disso, ele propõe estratégias de mitigação desses riscos, destacando a importância de abordagens agnósticas para o desenvolvimento de software quântico. O estudo também contribui ao fornecer um caso real de mitigação de riscos usando uma plataforma de software quântico, demonstrando como a adoção de arquiteturas flexíveis pode reduzir impactos decorrentes da rápida evolução do hardware e software quântico.;Os principais desafios incluem a falta de maturidade das ferramentas de desenvolvimento, a integração de software quântico com sistemas clássicos, a escassez de profissionais qualificados, e a necessidade de novos métodos de engenharia de software específicos para computação quântica. Além disso, o artigo destaca a importância de garantir a segurança e confiabilidade do software quântico em um cenário onde os riscos tecnológicos e organizacionais ainda não estão completamente compreendidos. Como agenda de pesquisa, o estudo sugere o desenvolvimento de novas métricas para qualidade de software quântico, a criação de técnicas de teste específicas para software quântico e a definição de padrões para integração e interoperabilidade entre sistemas quânticos e clássicos.;"Tool support; Reference architecture";"Integration challenges; Quality assurance"
SCP0003;"Juárez-Ramírez R.; Navarro C.X.; Jiménez S.; Ramírez A.; Tapia-Ibarra V.; Guerra-García C.; Perez-Gonzalez H.G.; Fernández-y-Fernández C.";A Taxonomic View of the Fundamental Concepts of Quantum Computing - A Software Engineering Perspective;2023;Programming and Computer Software  ;Program. Comput. Softw.;682;704;3;Abstract: Quantum computing is based on the principles of quantum mechanics, such as superposition, entanglement, measurement, and decoherence. The basic units of computation are qubits, which are abstract objects with a mathematical expression to implement the quantum mechanics principles. Alongside quantum hardware, software is a principal element for conducting quantum computing. The software consists of logic gates and quantum circuits that implement algorithms for the execution of quantum programs. Due to those characteristics, quantum computing is a paradigm that non-physics experts cannot understand. Under this new scheme for developing software, it is important to integrate a conceptual framework of the fundamentals on which quantum computing is based. In this paper, we present a kind of taxonomical view of the fundamental concepts of quantum computing and the derived concepts that integrate the emerging discipline of quantum software engineering. We performed a quasi-systematic mapping for conducting the systematic review because the objective of the review only intends to detect the fundamental concepts of quantum computing and quantum software. The results can help computer science students and professors as a starting point to address the study of this discipline. © 2023, Pleiades Publishing, Ltd.;;"Computation theory; Quantum optics; Qubits; Software engineering; Abstract object; Basic units; Decoherence; Engineering perspective; Entanglement measurement; Fundamental concepts; Hardware/software; Logic gate circuits; Mathematical expressions; Quantum Computing; Quantum entanglement";English;Article;Secondary Study;0;Quasi-systematic mapping;The Software Engineering in General;O artigo fornece uma visão taxonômica estruturada dos conceitos fundamentais da computação quântica sob a perspectiva da engenharia de software. Ele realiza um mapeamento quase-sistemático da literatura para identificar os principais conceitos matemáticos, físicos e computacionais que sustentam a computação quântica e sua implementação em software. Além disso, propõe um corpo de conhecimento (BoK) inicial para a engenharia de software quântico, facilitando a sistematização da área e servindo como referência para futuras pesquisas e diretrizes educacionais. O estudo também destaca a necessidade de integração entre a computação quântica e a engenharia de software, contribuindo para o desenvolvimento de modelos que auxiliem na formação de profissionais na área.;Os principais desafios para a Engenharia de Software Quântico incluem a ausência de um corpo de conhecimento consolidado, dificultando a sistematização e o avanço da área. Além disso, há uma dificuldade na integração de conceitos quânticos com a engenharia de software, exigindo novas abordagens e metodologias para modelagem e desenvolvimento. A escassez de profissionais qualificados também representa um obstáculo significativo, tornando essencial o investimento em capacitação e no desenvolvimento de frameworks acessíveis para engenheiros de software. Outro desafio é a necessidade de ferramentas e metodologias adequadas, que permitam a especificação, validação e manutenção eficazes de software quântico. Por fim, a educação e disseminação do conhecimento ainda são limitadas, uma vez que a computação quântica permanece pouco acessível a profissionais da computação sem formação em física e matemática avançada. Como agenda de pesquisa, o estudo sugere a formalização de um corpo de conhecime;"Conceptual framework; Research agenda";"Integration challenges; Modeling difficulty; Skill gap; Quality assurance"
SCP0004;"Ahmad A.; Altamimi A.B.; Aqib J.";A reference architecture for quantum computing as a service;2024;Journal of King Saud University; J. King Saud Univ. - Comput. Inform. Sci.;0;0;2;Quantum computers (QCs) aim to disrupt the status-quo of computing – replacing traditional systems and platforms that are driven by digital circuits and modular software – with hardware and software that operate on the principle of quantum mechanics. QCs that rely on quantum mechanics can exploit quantum circuits (i.e., quantum bits for manipulating quantum gates) to achieve ‘quantum computational supremacy’ over traditional, i.e., digital computing systems. Currently, the issues that impede mass-scale adoption of quantum systems are rooted in the fact that building, maintaining, and/or programming QCs is a complex and radically distinct engineering paradigm when compared to the challenges of classical computing and software engineering. Quantum service orientation is seen as a solution that synergises the research on service computing and quantum software engineering (QSE) to allow developers and users to build and utilise quantum software services based on pay-per-shot utility computing model. The pay-per-shot model represents a single execution of instruction on quantum processing unit and it allows vendors (e.g., Amazon Braket) to offer their QC platforms, simulators, and software services to end-users. This research contributes by (i) developing a reference architecture for enabling Quantum Computing as a Service (QCaaS), (ii) implementing microservices with the quantum-classic split pattern as an architectural use-case, and (iii) evaluating the architecture based on practitioners’ feedback. The proposed reference architecture follows a layered software pattern to support the three phases of service lifecycle namely development, deployment, and split of quantum software services. In the QSE context, the research focuses on unifying architectural methods and service-orientation patterns to promote reuse knowledge and best practices to tackle emerging and futuristic challenges of architecting QCaaS. © 2024 The Author(s);"Quantum service computing; Quantum software; Service computing; Software architecture; Software engineering";;English;Article;Secondary Study;0;Mapping Study;Software Architecture;"O trabalho apresenta uma arquitetura de referência baseada em camadas para apoiar o ciclo de vida de serviços quânticos, desde a concepção até a execução, com um protótipo baseado em microserviços e padrão quantum-classic split, avaliado por 22 profissionais distribuídos globalmente; fornece também uma metodologia empírica para desenvolvimento de serviços e diretrizes para implementação de QCaaS em plataformas como o Azure.";Os principais desafios abordados incluem a escassez de arquiteturas padronizadas para sistemas quânticos, a complexidade de dividir corretamente o processamento entre partes clássicas e quânticas, a falta de ferramentas de modelagem específicas para o paradigma híbrido, e a necessidade de mais pesquisas empíricas que validem a reusabilidade e aplicabilidade de padrões clássicos adaptados ao contexto quântico.;"Reference architecture; Tool support; Research agenda";"Lack of modeling standards; Integration challenges; Tool support gap; System complexity"
SCP0005;"Stirbu V.; Haghparast M.; Waseem M.; Dayama N.; Mikkonen T.";Full-Stack Quantum Software in Practice: Ecosystem, Stakeholders and Challenges;2023;International Conference on Quantum Computing and Engineering;QCE;177;180;5;The emergence of quantum computing has introduced a revolutionary paradigm capable of transforming numerous scientific and industrial sectors. Nevertheless, realizing the practical utilization of quantum software in real-world applications presents significant challenges. Factors such as variations in hardware implementations, the intricacy of quantum algorithms, the integration of quantum and traditional software, and the absence of standardized software and communication interfaces hinder the development of a skilled workforce in this domain. This paper explores tangible approaches to establishing quantum computing software development process and addresses the concerns of various stakeholders. By addressing these challenges, we aim to pave the way for the effective utilization of quantum computing in diverse fields.  © 2023 IEEE.;"operations; quantum computing; quantum software engineering; software development process";"Application programs; Quantum computers; Quantum theory; Hardware implementations; Industrial sector; Operation; Quantum algorithms; Quantum Computing; Quantum software engineering; Real-world; Scientific sectors; Software development process; Software interfaces; Software design";English;Conference Paper;Primary Study;Opinion papers;0;The Software Engineering in General;O estudo propõe uma visão abrangente sobre o desenvolvimento de software quântico, abordando desde a concepção até a operação, destacando a necessidade de integração entre componentes clássicos e quânticos e a importância da padronização e evolução das ferramentas de desenvolvimento.;A implementação de software quântico enfrenta desafios como a integração entre software clássico e quântico, a limitação de hardware disponível, a necessidade de técnicas avançadas de depuração e verificação, e a falta de padronização de interfaces e ferramentas de desenvolvimento.;Tool support;"Lack of standardization; Integration challenges; Quality assurance; Hardware limitations"
SCP0011;"Yue T.; Ali S.; Arcaini P.";Towards Quantum Software Requirements Engineering;2023;International Conference on Quantum Computing and Engineering;QCE;161;164;4;Quantum software engineering (QSE) is receiving increasing attention, as evidenced by increasing publications on topics, e.g., quantum software modeling, testing, and debugging. However, in the literature, quantum software requirements engineering (QSRE) is still a software engineering area that is relatively less investigated. To this end, in this paper, we provide an initial set of thoughts about how requirements engineering for quantum software might differ from that for classical software after making an effort to map classical requirements classifications (e.g., functional and extra-functional requirements) into the context of quantum software. Moreover, we provide discussions on various aspects of QSRE that deserve attention from the Quantum software engineering community.  © 2023 IEEE.;"quantum software engineering; requirements; requirements engineering";"Program debugging; Software testing; Model testing; Quantum software engineering; Requirement; Requirement engineering; Requirements classifications; Software debugging; Software modeling; Software requirements; Software testings; Testing and debugging; Requirements engineering";English;Conference Paper;Primary Study;Opinion papers;0;Software Requirements;O estudo apresenta uma estrutura inicial para Engenharia de Requisitos de Software Quântico, abordando classificações específicas, requisitos híbridos (clássico-quântico) e desafios relacionados a portabilidade, desempenho, confiabilidade e escalabilidade de sistemas quânticos.;A falta de padronização para elicitação e especificação de requisitos quânticos, a necessidade de distinguir claramente requisitos clássicos e quânticos, e a adaptação de técnicas de validação e verificação para software quântico, dado seu caráter probabilístico e a limitação de observabilidade.;Empirical study;"Lack of standardization; Quality assurance; Classical-quantum separation"
SCP0012;"Liimatta P.; Taipale P.; Halunen K.; Heinosaari T.; Mikkonen T.; Stirbu V.";Research Versus Practice in Quantum Software Engineering: Experiences From Credit Scoring Use Case;2024;Software;IEEE Software;9;16;0;The emergence of quantum computing proposes a revolutionary paradigm that can radically transform numerous scientific and industrial application domains. However, realizing this promise in industrial applications is far from being practical today. In this paper, we discuss industry experiences with respect to quantum computing, and the gap between quantum software engineering research and state-of-the-practice in industry-scale quantum computing.  © 2024 IEEE.;;"Application programs; Computer aided software engineering; Engineering research; Industrial research; Quantum efficiency; Quantum electronics; Quantum optics; Applications domains; Credit scoring; Industry experience; Quantum Computing; Software engineering research; State of the practice; Quantum computers";English;Article;Primary Study;Personal experience papers;0;The Software Engineering in General;"O artigo fornece uma análise crítica da lacuna entre a pesquisa acadêmica e a prática industrial na engenharia de software quântico, demonstrando, por meio de um estudo de caso com quantum annealing aplicado ao credit scoring, como decisões de particionamento de problema, escolha de algoritmo e limitações de hardware impactam diretamente a obtenção de vantagem quântica; além disso, apresenta lições aprendidas sobre formulação de QUBO, uso de WoE, e necessidade de ferramentas de observabilidade como o dwave-inspector.";O estudo evidencia desafios como a baixa conectividade entre qubits, que limita o tamanho dos problemas processáveis, a dificuldade de embutir QUBO em topologias de hardware real, a necessidade de ferramentas eficazes de depuração e verificação, e a complexidade de adaptar algoritmos clássicos a contextos quânticos sem perder desempenho ou precisão em ambientes NISQ.;Empirical study;"Quality assurance; Hardware limitations"
SCP0016;"Paltenghi M.; Pradel M.";MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform;2023;International Conference on Software Engineering;ICSE;2413;2424;15;As quantum computing is becoming increasingly popular, the underlying quantum computing platforms are growing both in ability and complexity. Unfortunately, testing these platforms is challenging due to the relatively small number of existing quantum programs and because of the oracle problem, i.e., a lack of specifications of the expected behavior of programs. This paper presents MorphQ, the first metamorphic testing approach for quantum computing platforms. Our two key contributions are (i) a program generator that creates a large and diverse set of valid (i.e., non-crashing) quantum programs, and (ii) a set of program transformations that exploit quantum-specific metamorphic relationships to alleviate the oracle problem. Evaluating the approach by testing the popular Qiskit platform shows that the approach creates over 8k program pairs within two days, many of which expose crashes. Inspecting the crashes, we find 13 bugs, nine of which have already been confirmed. MorphQ widens the slim portfolio of testing techniques of quantum computing platforms, helping to create a reliable software stack for this increasingly important field. © 2023 IEEE.;"compiler testing; differential testing; fuzz testing; metamorphic testing; MorphQ; Qiskit; quality assurance; quantum bugs; quantum computing; quantum computing platforms; quantum program generator; quantum software reliability; software engineering";"Program compilers; Program debugging; Quantum computers; Software testing; Compiler testing; Computing platform; Differential testing; Fuzz Testing; Metamorphic testing; Morphq; Qiskit; Quantum bug; Quantum Computing; Quantum computing platform; Quantum program generator; Quantum software reliability; Software-Reliability; Software reliability";English;Conference Paper;Primary Study;Evaluation research;0;Software Testing;O artigo propõe uma estrutura completa de testes que inclui um gerador automático de programas quânticos válidos, um conjunto de dez transformações metamórficas específicas para computação quântica (como troca de ordem de qubits, injeção de operações nulas e transformação via QASM), e um mecanismo de comparação comportamental para detectar falhas. Avaliado sobre a plataforma Qiskit, o MorphQ revelou 13 bugs reais, nove deles confirmados, alcançando maior cobertura de código e diversidade de programas do que abordagens anteriores como o QDiff.;Os principais desafios abordados incluem a ausência de especificações formais (problema do oráculo), a geração de programas não triviais que respeitem as restrições quânticas, a identificação e validação de falhas em um ambiente probabilístico, a necessidade de integrar múltiplas transformações metamórficas para revelar erros complexos, e a limitação do desempenho de execução em simuladores clássicos.;Tool support;Quality assurance
SCP0019;"Openja M.; Morovati M.M.; An L.; Khomh F.; Abidi M.";Technical debts and faults in open-source quantum software systems: An empirical study;2022;Journal of Systems and Software;JSS;0;0;7;Quantum computing is a rapidly growing field attracting the interest of both researchers and software developers. Supported by its numerous open-source tools, developers can now build, test, or run their quantum algorithms. Although the maintenance practices for traditional software systems have been extensively studied, the maintenance of quantum software is still a new field of study but a critical part to ensure the quality of a whole quantum computing system. In this work, we set out to investigate the distribution and evolution of technical debts in quantum software and their relationship with fault occurrences. Understanding these problems could guide future quantum development and provide maintenance recommendations for the key areas where quantum software developers and researchers should pay more attention. In this paper, we empirically studied 118 open-source quantum projects, which were selected from GitHub. The projects are categorized into 10 categories. We found that the studied quantum software suffers from the issues of code convention violation, error-handling, and code design. We also observed a statistically significant correlation between code design, redundant code or code convention, and the occurrences of faults in quantum software. © 2022 Elsevier Inc.;"Quantum computing; Software bugs; Software maintenance; Software reliability; Technical debts";"Open source software; Open systems; Program debugging; Quantum computers; Software reliability; Code conventions; Code designs; Open-source; Quantum Computing; Software bug; Software developer; Software-Reliability; Software-systems; Technical debts; Technical fault; Computer software maintenance";English;Article;Primary Study;Evaluation research;0;Software Maintenance;O artigo contribui ao demonstrar, por meio de um estudo de caso baseado em dados históricos de repositórios, que há uma correlação relevante entre a presença de dívidas técnicas e a ocorrência de falhas em softwares quânticos, propondo insights valiosos para práticas de engenharia de software preventivas neste domínio emergente.;O trabalho evidencia como principal desafio a escassez de abordagens sistemáticas para identificação e mitigação de dívidas técnicas em softwares quânticos, que são particularmente suscetíveis a erros devido à sua complexidade e à rápida evolução tecnológica da computação quântica.;Empirical study;System complexity
